s;l
772;transmission.shift.finger.rail.actuator.1
773;transmission.shift.finger.gear.actuator.1
774;transmission.upshift.request.switch
775;transmission.downshift.request.switch
776;torque.converter.interrupt.actuator
777;torque.converter.lockup.actuator
778;transmission.high.range.sense.switch
779;transmission.low.range.sense.switch
780;transmission.shift.finger.neutral.indicator
781;transmission.shift.finger.engagement.indicator
782;transmission.shift.finger.center.rail.indicator
783;transmission.shift.finger.rail.actuator.2
784;transmission.shift.finger.gear.actuator.2
785;transmission.hydraulic.system
786;transmission.defuel.actuator
787;transmission.inertia.brake.actuator
788;transmission.clutch.actuator
789;wheel.sensor.abs.axle.1.left
790;wheel.sensor.abs.axle.1.right
791;wheel.sensor.abs.axle.2.left
792;wheel.sensor.abs.axle.2.right
793;wheel.sensor.abs.axle.3.left
794;wheel.sensor.abs.axle.3.right
795;pressure.modulation.valve.abs.axle.1.left
796;pressure.modulation.valve.abs.axle.1.right
797;pressure.modulation.valve.abs.axle.2.left
798;pressure.modulation.valve.abs.axle.2.right
799;pressure.modulation.valve.abs.axle.3.left
800;pressure.modulation.valve.abs.axle.3.right
801;retarder.control.relay
802;relay.diagonal.1
803;relay.diagonal.2
804;mode.switch.abs
805;mode.switch.asr
806;dif.1.asr.valve
807;dif.2.asr.valve
808;pneumatic.engine.control
809;electronic.engine.control
810;speed.signal.input
811;warning.light.bulb
812;asr.light.bulb
813;wheel.sensor.abs.axle.1.average
814;wheel.sensor.abs.axle.2.average
815;wheel.sensor.abs.axle.3.average
816;pressure.modulator.drive.axle.relay.valve
817;pressure.transducer.drive.axle.relay.valve
818;master.control.relay
819;trailer.brake.slack.out.of.adjustment.forward.axle.left
820;trailer.brake.slack.out.of.adjustment.forward.axle.right
821;trailer.brake.slack.out.of.adjustment.rear.axle.left
822;trailer.brake.slack.out.of.adjustment.rear.axle.right
823;tractor.brake.slack.out.of.adjustment.axle.1.left
824;tractor.brake.slack.out.of.adjustment.axle.1.right
825;tractor.brake.slack.out.of.adjustment.axle.2.left
826;tractor.brake.slack.out.of.adjustment.axle.2.right
827;tractor.brake.slack.out.of.adjustment.axle.3.left
828;tractor.brake.slack.out.of.adjustment.axle.3.right
829;left.fuel.level.sensor
830;right.fuel.level.sensor
831;engine.fuel.feed.rate.sensor
832;engine.fuel.return.rate.sensor
833;fuel.rack.position.sensor
834;fuel.rack.actuator
835;oil.level.indicator.output
836;tachometer.drive.output
837;speedometer.drive.output
838;pwm.input
839;dead.reckoning.unit
840;loran.receiver
841;global.positioning.system
842;integrated.navigation.unit
843;operator.control.panel
844;pneumatic.control.unit
845;pcu.steer.solenoid
846;pcu.drive.solenoid
847;pcu.trailer.tag.or.push.solenoid
848;pcu.supply.solenoid
849;pcu.control.solenoid
850;pcu.deflate.solenoid
851;pneumatic.steer.channel
852;pneumatic.drive.channel
853;pneumatic.trailer.tag.or.push.channel
854;heater.circuit.01
855;heater.circuit.02
856;heater.circuit.03
857;heater.circuit.04
858;heater.circuit.05
859;heater.circuit.06
860;heater.circuit.07
861;heater.circuit.08
862;heater.circuit.09
863;heater.circuit.10
864;heater.circuit.11
865;heater.circuit.12
866;heater.circuit.13
867;heater.circuit.14
868;heater.circuit.15
869;heater.circuit.16
870;heater.regeneration.system
871;refrigerant.charge
872;refrigerant.moisture.level
873;noncondensable.gas.in.refrigerant
874;refrigerant.flow.control.solenoid
875;refrigerant.low.pressure.switch
876;compressor.clutch.circuit
877;evaporator.thermostat.circuit
878;clearance.side.marker.identification.lamp.circuit
879;left.turn.lamp.circuit
880;stop.lamp.circuit
881;right.turn.lamp.circuit
882;tail.lamplicense.plate.lamp.circuit
883;auxiliary.lamp.circuit
884;tractor.mounted.rear.axle.slider.control.unit
885;trailer.mounted.rear.axle.slider.control.unit
886;headway.controller.forward.antenna
887;headway.controller.brake.input.monitor
888;headway.controller.speaker.monitor
889;headway.controller.steering.sensor.monitor
890;headway.controller.speedometer.monitor
891;headway.controller.right.turn.signal.monitor
892;headway.controller.left.turn.signal.monitor
893;headway.controller.control.display.unit
894;headway.controller.right.side.sensor
895;headway.controller.left.side.sensor
896;headway.controller.rear.sensor
897;override.control.mode.priority
898;engine.requested.speedspeed.limit
899;engine.torque.mode
900;retarder.torque.mode
901;retarder.type
902;retarder.location
903;transmission.forward.direction.switch
904;front.axle.speed
905;relative.speed..front.axle.left.wheel
906;relative.speed..front.axle.right.wheel
907;relative.speed..rear.axle.1.left.wheel
908;relative.speed..rear.axle.1.right.wheel
909;relative.speed..rear.axle.2.left.wheel
910;relative.speed..rear.axle.2.right.wheel
911;service.component.identification.1
912;service.component.identification.2
913;service.component.identification.3
914;service.distance
915;service.delaycalendar.time.based
916;service.delayoperational.time.based
917;high.resolution.total.vehicle.distance
918;high.resolution.trip.distance
919;ambient.light.sensor
920;audible.alarm
921;green.lamp
922;ride.height.relay
923;pwm.output
924;auxiliary.output.1
925;auxiliary.output.2
926;auxiliary.output.3
927;location
928;axle.location.1
929;tire.location.1
930;drive.axle.location
931;engine.fuel.supply.pump.actuator
932;brake.system.hold.modulator.valve.solenoid.axle.1.left
933;brake.system.hold.modulator.valve.solenoid.axle.1.right
934;brake.system.hold.modulator.valve.solenoid.axle.2.left
935;brake.system.hold.modulator.valve.solenoid.axle.2.right
936;brake.system.hold.modulator.valve.solenoid.axle.3.left
937;brake.system.hold.modulator.valve.solenoid.axle.3.right
938;brake.system.dump.modulator.valve.solenoid.axle.1.left
939;brake.system.dump.modulator.valve.solenoid.axle.1.right
940;brake.system.dump.modulator.valve.solenoid.axle.2.left
941;brake.system.dump.modulator.valve.solenoid.axle.2.right
942;brake.system.dump.modulator.valve.solenoid.axle.3.left
943;brake.system.dump.modulator.valve.solenoid.axle.3.right
944;driver.air.bag.ignitor.loop
945;passenger.air.bag.ignitor.loop
946;left.belt.tensioner.ignitor.loop
947;right.belt.tensioner.ignitor.loop
948;safety.restraint.system.lamp
949;automotive.seat.occupancy.sensor.passenger.side
950;side.collision.detector.left
951;side.bag.ignitor.loop.1.left
952;side.bag.ignitor.loop.2.left
953;side.collision.detector.right
954;side.bag.ignitor.loop.1.right
955;side.bag.ignitor.loop.2.right
956;rollover.sensor
957;number.of.forward.gear.ratios
958;number.of.reverse.gear.ratios
959;seconds
960;minutes
961;hours
962;day
963;month
964;year
965;number.of.software.identification.fields
966;engine.test.mode.switch
967;engine.idle.decrement.switch
968;engine.idle.increment.switch
969;remote.accelerator.enable.switch
970;engine.auxiliary.engine.shutdown.switch
971;engine.derate.switch
972;accelerator.interlock.switch
973;engine.retarder.selection
974;remote.accelerator.pedal.position
975;estimated.percent.fan.speed
976;pto.state
977;fan.drive.state
978;engine.remote.pto.variable.speed.control.switch
979;engine.remote.pto.preprogrammed.speed.control.switch
980;engine.pto.enable.switch
981;engine.pto.accelerate.switch
982;engine.pto.resume.switch
983;engine.pto.coastdecelerate.switch
984;engine.pto.set.switch
985;ac.high.pressure.fan.switch
986;requested.percent.fan.speed
987;protect.lamp
988;trip.group.1
989;trip.group.2.proprietary
990;total.compression.brake.distance
991;trip.compression.brake.distance
992;trip.service.brake.distance
993;trip.service.brake.applications
994;trip.fan.on.time
995;trip.fan.on.time.due.to.the.engine.system
996;trip.fan.on.time.due.to.a.manual.switch
997;trip.fan.on.time.due.to.the.ac.system
998;trip.distance.on.vsl
999;trip.gear.down.distance
1000;trip.distance.in.top.gear
1001;trip.drive.fuel.used.1
1002;trip.pto.moving.fuel.used.1
1003;trip.pto.nonmoving.fuel.used.1
1004;trip.vehicle.idle.fuel.used.1
1005;trip.cruise.fuel.used.1
1006;trip.drive.fuel.economy.1
1007;trip.drive.fuel.used.2
1008;trip.pto.moving.fuel.used.2
1009;trip.pto.nonmoving.fuel.used.2
1010;trip.vehicle.idle.fuel.used.2
1011;trip.cruise.fuel.used.2
1012;trip.drive.fuel.economy.2
